"Brand","Count_ads","no_channels","length_avg","Impressions_avg","Adpos_avg","no_weeks","Ad_during_PT","Ad_during_NPT","Ad_during_weekend","Ad_during_weekday","Short_ad","Medium_length_ad","Long_ad","Early_position","Middle_position","End_position","Low_Impressions","High_Impressions","Brand_aired_Star","Brand_aired_Sony","Brand_aired_Viacom18","Brand_aired_Zee","Genre_Infotainment","Genre_Kids","Genre_Lifestyle","Genre_Movies","Genre_Music","Genre_News","Genre_Youth","Programme_Genre_Arts_and_Culture","Programme_GenreBUSINESS PROGRAM","Programme_GenreCAR / BIKE RACING","Programme_GenreCARTOONS/ANIMATION","Programme_GenreCHILDRENS PROGRAM","Programme_GenreCOMEDIES","Programme_GenreCOOKERY","Programme_GenreCRICKET","Programme_GenreDRAMA/SOAP","Programme_GenreEVENTS/CONCERTS/AWARDS/SHOWS","Programme_GenreFEATURE FILMS","Programme_GenreFILM BASED MAGAZINES","Programme_GenreFILM SONGS","Programme_GenreFILM TRAILORS/ALBUM PROMOS","Programme_GenreGAME SHOW/QUIZ","Programme_GenreHEALTH/FITNESS","Programme_GenreHORROR SERIAL","Programme_GenreINTERVIEWS/PORTRAITS/DISCUSSIO","Programme_GenreMYTHOLOGICAL/COSTUME DRAMAS","Programme_GenreNATURE/WILD LIFE/ENVIRONMENT","Programme_GenreNEWS BULLETIN","Programme_GenreREALITY SHOW","Programme_GenreRELIGIOUS/DEVOTIONAL/ASTROLOGY","Programme_GenreREVIEWS/REPORTS","Programme_GenreSCIENCE/EDUCATION","Programme_GenreTALENT SEARCH/FEATS","Programme_GenreTALK SHOWS/CHAT SHOW","Programme_GenreTELE SHOPPING","Programme_GenreTRAVEL PLACES","Programme_GenreWRESTLING"
"KARTHIKA SHAMPOO",2199,14,21.4756707594361,301.071850841292,0.487277553791723,17,918,1281,900,1299,340,977,882,918,524,757,116,2083,694,60,176,450,0,0,0,371,371,224,0,0,0,0,0,0,64,0,3,396,18,77,0,108,44,0,0,0,0,4,0,42,0,9,39,0,0,9,0,0,4
"KEO KARPIN",3216,15,13.1996268656716,151.138662935323,0.548626620679105,28,1113,2103,617,2599,2009,479,728,907,1125,1184,479,2737,156,0,165,465,816,336,0,0,960,318,148,0,0,0,6,0,0,0,14,124,0,6,0,417,170,0,0,0,0,0,104,72,0,8,234,108,0,8,3,0,0
"KESH KING OIL",12720,12,18.0911949685535,168.431247641509,0.527429453281682,49,4524,8196,1354,11366,5725,2864,4131,4082,4039,4599,2475,10245,1243,387,1789,2010,0,0,0,2199,0,5092,0,2,12,0,162,0,122,0,53,1405,102,1118,31,11,0,0,36,3,104,4,0,2112,0,187,364,0,0,1,5,0,0
"KUBER AYURVEDIC ALMOND HAIR OIL",85,1,15.0117647058824,29.2794117647059,0.586317843552941,5,24,61,24,61,0,85,0,13,40,32,12,73,0,0,0,0,0,0,0,0,0,85,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,0,2,0,0,0,0,2,0,0
"KUBER AYURVEDIC AMLA HAIR OIL",87,1,15,34.2635632183908,0.563143745574713,5,27,60,25,62,0,87,0,22,29,36,9,78,0,0,0,0,0,0,0,0,0,87,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,51,0,5,0,0,0,2,0,0,0
"LIVON HAIR GAIN TONIC",5626,9,25,58.8527550657661,0.563022296087096,27,1154,4472,1258,4368,0,0,5626,1215,2257,2154,511,5115,976,1154,0,0,0,0,0,1838,722,3066,0,0,5,0,0,0,129,0,26,0,0,253,21,501,0,0,1,0,28,0,0,1145,0,50,354,0,0,41,0,0,0
"LIVON SERUM",9087,15,21.5841311764059,112.527374270937,0.542182384777814,32,2712,6375,2192,6895,0,7555,1532,2601,3088,3398,1315,7772,1056,1910,2660,1142,0,0,0,273,3927,0,2045,0,0,0,0,0,32,0,0,814,43,35,0,1734,68,0,0,0,3,54,0,0,3,0,0,0,7,2,0,0,0
"L OREAL ADVANCED HAIRCARE PARIS",7254,11,18.1113868210642,350.19929693962,0.534158890770747,33,1937,5317,1932,5322,2018,4588,648,2220,2351,2683,47,7207,1965,2099,1083,1852,0,0,0,1053,0,255,0,0,0,0,0,0,49,0,8,1298,65,235,0,8,0,0,0,0,0,20,0,49,26,4,51,0,18,8,1,0,1
"L OREAL CASTING CREME GLOSS",2094,8,18.6246418338109,237.440792741165,0.56077336049618,15,550,1544,583,1511,0,1835,259,510,753,831,142,1952,399,1162,213,320,0,0,0,0,713,0,0,0,0,0,0,0,8,0,0,322,13,2,0,306,0,0,0,0,0,8,0,0,35,0,0,0,7,0,0,0,0
"L OREAL EXCELLENCE CREME",928,9,19.1109913793103,262.826810344828,0.564737992201509,11,290,638,228,700,168,588,172,257,302,369,93,835,85,336,167,253,0,0,87,0,108,0,0,0,0,0,0,0,3,82,0,232,5,7,0,53,0,0,0,0,0,2,0,0,15,0,0,0,0,0,3,0,0
"L OREAL EXCELLENCE LEGENDS COLLECTION",1789,9,18.1078814980436,263.213437674679,0.62606033463052,11,534,1255,392,1397,0,1789,0,378,530,881,278,1511,377,570,172,216,0,0,454,79,0,0,0,0,0,0,0,0,5,310,0,247,25,15,0,0,0,0,0,0,0,3,0,0,29,0,0,0,6,0,7,0,0
"L OREAL FALL RESIST 3X SHAMPOO",625,13,15.584,212.455744,0.5259087582832,7,134,491,181,444,276,349,0,218,163,244,70,555,98,239,72,130,0,0,0,160,83,0,0,0,0,0,0,0,5,0,0,99,5,34,0,49,0,0,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0
"L OREAL TOTAL REPAIR 5",2699,11,20,320.031359762875,0.521446401026676,19,878,1821,683,2016,0,2699,0,891,840,968,35,2664,686,805,420,788,0,0,0,570,0,0,0,0,0,0,0,0,20,0,0,471,18,151,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"L OREAL TOTAL REPAIR 5 SHAMPOO",4196,15,16.5729265967588,217.330922306959,0.522107451151096,12,1173,3023,1066,3130,1438,2758,0,1306,1429,1461,384,3812,970,1985,289,604,0,0,0,1122,798,0,0,0,0,0,0,0,15,0,0,458,11,291,0,413,0,0,0,0,0,2,0,0,93,0,0,0,11,1,0,0,0
"MEGHDOOT SATRITHA SHAMPOO",105,2,10.1904761904762,355.451333333333,0.872812565209524,7,39,66,51,54,101,4,0,2,8,95,0,105,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULTANI ROVAAN HAIR OIL",2431,2,14.0600575894694,99.9430769230769,0.506251584098725,22,480,1951,746,1685,753,1678,0,1114,471,846,180,2251,0,0,0,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,113,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"NAVRATNA ALMOND COOL OIL",3069,19,15.4105571847507,248.673418051483,0.56278797376116,13,821,2248,604,2465,1770,732,567,778,1054,1237,183,2886,527,1091,98,583,0,0,0,1377,0,283,0,0,0,0,8,0,6,0,6,231,4,344,1,5,0,0,6,0,9,1,0,106,0,10,27,0,0,0,0,0,0
"NIHAR SHANTI AMLA HAIR OIL",19923,19,18.6723886964815,145.105855543844,0.552844035835165,33,5728,14195,4680,15243,7235,9628,3060,5442,6751,7730,1469,18454,3281,3764,2663,4231,0,0,0,4900,5383,0,0,0,0,0,169,5,210,0,0,3210,276,1125,0,2136,484,2,0,2,10,72,0,0,2,0,0,0,16,12,48,0,0
"NIHAR SHANTI SARSO KESH TEL",6573,13,18.7844211166895,148.110643541762,0.543039469968051,15,1720,4853,1322,5251,2948,1476,2149,1815,2288,2470,515,6058,1363,1269,1128,1040,0,0,0,1463,2149,0,0,0,0,0,50,4,47,0,0,1363,82,289,0,930,50,0,0,0,0,72,0,0,2,0,0,0,11,2,0,0,0
"NISHA NATURAL HENNA HAIR COLOUR",99,5,10,87.820202020202,0.592315395252525,1,26,73,0,99,99,0,0,19,36,44,1,98,10,0,12,12,0,0,0,0,0,65,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,18,0,1,7,0,0,0,1,0,0
"NYLE NATURALS HAIR FALL DEFENCE",1347,12,20,128.014580549369,0.52609402642539,13,322,1025,445,902,0,1347,0,398,497,452,81,1266,367,318,0,30,0,0,0,239,646,86,0,0,0,0,0,0,1,0,3,82,0,60,0,193,54,0,0,0,0,0,0,15,0,4,17,0,0,6,0,0,0
"NYLE NATURALS STRONG AND SMOOTH",416,7,20,206.706586538462,0.521849753536058,8,119,297,261,155,0,416,0,132,129,155,5,411,144,103,0,24,0,0,0,147,145,0,0,0,0,0,0,0,1,0,0,14,0,35,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PANTENE",2390,17,10.0648535564854,355.295744769874,0.29481452302092,5,786,1604,407,1983,2359,31,0,1758,256,376,44,2346,871,399,177,723,0,0,0,467,363,0,0,0,0,0,11,10,10,0,0,689,28,135,0,211,8,0,0,2,0,6,0,0,5,0,0,0,8,0,0,0,1
"PANTENE PRO-V",5453,25,25.7628828167981,132.889741426738,0.545744622255272,6,1791,3662,1152,4301,0,636,4817,1740,1514,2199,203,5250,1257,566,926,1597,0,532,0,1558,145,45,0,0,0,0,207,17,99,0,0,593,88,258,0,42,0,0,0,0,0,18,0,11,0,0,0,0,0,1,27,0,1
"PANTENE PRO-V HAIR FALL CONTRO",26273,28,21.4591025006661,135.786973318616,0.538071430816161,27,7963,18310,6923,19350,0,9303,16970,8277,8021,9975,3615,22658,5361,2236,2609,8576,44,916,0,9355,1123,293,517,0,0,0,376,19,350,0,0,3595,168,2787,13,592,0,0,9,75,0,71,0,142,0,8,5,3,3,13,98,0,4
"PANTENE PRO-V SHAMPOO/CONDITIO",9071,23,19.0590894057987,144.090349465329,0.537512737254548,17,2552,6519,2192,6879,0,9071,0,2892,2742,3437,995,8076,2501,1458,525,3019,0,0,0,3297,1000,115,0,0,0,0,18,2,59,0,0,1656,35,1198,4,436,8,0,2,7,10,1,0,84,0,4,0,0,9,3,0,0,11
"PANTENE TOTAL DAMAGE CARE CONDITIONER",1768,19,23.6821266968326,160.31253959276,0.527320967473982,4,457,1311,485,1283,0,1117,651,559,594,615,248,1520,394,328,245,379,0,0,0,517,247,162,35,0,0,0,3,0,38,0,0,239,5,214,8,83,0,0,5,0,1,0,0,80,2,10,2,0,0,0,0,0,0
"PARACHUTE ADVANSED",3120,10,22.0817307692308,149.200365384615,0.559942900873397,10,827,2293,712,2408,0,1647,1473,861,990,1269,461,2659,575,609,224,544,0,0,240,0,1537,0,0,0,0,0,0,0,8,13,0,390,21,5,0,594,139,0,0,0,0,1,0,0,0,0,1,0,0,0,2,31,0
"PARACHUTE ADVANSED HOT OIL",2144,7,23.8805970149254,21.3751539179104,0.571181527567164,5,757,1387,626,1518,0,1192,952,559,676,909,528,1616,0,293,291,335,654,0,335,0,864,0,291,0,0,0,0,0,0,126,0,0,0,0,0,432,12,0,0,0,0,0,106,0,2,0,157,81,0,0,0,11,0
"PARACHUTE AYURVEDIC GOLD HAIR OIL",10300,16,21.3878640776699,179.486097087379,0.559456133671165,27,2682,7618,2340,7960,0,7097,3203,2814,3300,4186,803,9497,2231,1885,735,2542,0,0,0,1482,3953,0,0,0,0,0,0,0,15,0,0,1499,125,297,0,1836,327,0,0,3,0,3,0,0,0,0,0,0,5,7,2,0,0
"PARACHUTE JASMINE CN OIL",16472,19,16.6618504128218,146.094236886838,0.553652193827647,36,4495,11977,3965,12507,5996,7522,2954,4496,5539,6437,1767,14705,3614,1952,2626,3915,0,0,0,2728,5190,0,1102,0,0,4,78,11,56,0,0,2431,144,721,0,2834,443,0,0,2,0,42,0,0,1,0,0,0,14,10,1,0,0
"PARK AVENUE BEER SHAMPOO",2414,8,12.5787075393538,186.151648715824,0.573828997354184,12,709,1705,658,1756,1953,299,162,557,855,1002,286,2128,448,394,1109,463,0,0,0,736,0,0,958,0,0,3,0,0,15,0,0,168,13,92,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PATANJALI KESH KANTI HAIR OIL",1707,14,34.2384299941418,93.6005506736965,0.416339094155243,10,462,1245,471,1236,0,1,1706,1002,245,460,39,1668,184,26,0,149,0,0,0,178,0,1348,0,0,0,0,0,0,63,0,18,35,0,37,5,2,0,0,8,0,3,0,0,415,0,9,107,0,0,17,1,0,2
"PATANJALI KESH KANTI SHAMPOO",3505,13,22.1854493580599,252.5482510699,0.444833674534094,30,1131,2374,958,2547,0,2739,766,1711,740,1054,101,3404,711,492,0,1349,0,0,0,715,0,953,0,0,0,0,0,0,43,0,10,429,0,147,2,7,0,0,3,5,8,0,0,363,0,20,100,0,6,20,2,0,7
"PATANJALI KESH KANTI SHAMPOO & OIL",5829,15,21.0422027792074,130.491811631498,0.439179633326814,36,1694,4135,1830,3999,0,5408,421,3100,1024,1705,247,5582,746,502,0,922,0,0,0,660,0,3659,0,0,0,0,1,0,170,0,34,298,8,138,12,10,0,0,16,8,48,0,0,1273,10,42,305,0,49,56,2,0,6
"RELY HAIR OIL",63,1,10,53.9568253968254,0.229161857111111,5,24,39,26,37,63,0,0,58,1,4,3,60,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,0,0,2,0,0,0
"ROSA SHAMPOO",340,3,17.2352941176471,142.148794117647,0.651940848564706,8,82,258,113,227,86,254,0,56,104,180,22,318,102,0,0,0,0,0,0,72,0,238,0,0,0,0,0,0,0,0,5,7,0,16,0,0,0,0,0,0,0,0,0,51,0,3,55,0,0,7,0,0,0
"SCALPE PLUS",1899,9,23.957345971564,158.239473407056,0.574820447418641,7,559,1340,551,1348,0,1398,501,371,754,774,33,1866,185,1055,54,113,0,0,0,806,0,350,0,0,0,0,0,0,9,0,0,114,13,132,0,0,0,0,0,0,1,7,0,117,0,0,2,0,0,0,0,0,0
"SESA HAIR FOOD",3467,2,20,27.0155581194116,0.573982701912605,38,945,2522,976,2491,0,3467,0,683,1384,1400,704,2763,0,0,0,0,0,0,0,4,3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SESA HAIR OIL",591,2,20,24.7179526226734,0.554782546453469,8,153,438,153,438,0,591,0,131,256,204,93,498,0,0,0,0,0,0,0,180,411,0,0,0,0,0,0,0,0,0,0,0,0,78,0,82,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SESA HAIR OIL IN LOTION",521,2,20,24.3492130518234,0.560210426028791,5,176,345,141,380,0,521,0,112,222,187,86,435,0,0,0,0,0,0,0,264,257,0,0,0,0,0,0,0,0,0,0,0,0,111,0,57,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SET WET",9781,15,14.5792863715367,97.2731796339843,0.557422779914733,26,2373,7408,2308,7473,4702,5079,0,2503,3477,3801,1328,8453,1866,2775,1994,274,779,0,0,2630,3133,478,1428,0,0,0,0,0,13,0,8,510,70,482,0,1772,0,0,0,0,0,89,247,97,9,10,288,41,0,17,0,0,0
"SHRI AASTHA HAIR OIL",545,2,30,2.11242201834862,0.96553516819633,18,0,545,123,422,0,0,545,19,8,518,448,97,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0
"STREAX HAIR COLOUR",1826,11,17.2015334063527,342.748975903614,0.568791726722892,6,550,1276,447,1379,812,653,361,509,524,793,11,1815,373,280,368,350,0,268,0,267,0,455,0,0,0,0,176,0,2,0,17,263,14,45,0,1,0,0,0,0,0,0,0,95,0,9,69,0,0,12,0,0,6
"STREAX INSTA",1657,9,19.4840072420036,174.133204586602,0.512179426405552,4,537,1120,328,1329,191,1069,397,526,542,589,47,1610,267,153,0,351,0,0,0,224,0,886,0,0,0,0,0,0,35,0,0,126,0,50,5,2,0,0,9,0,4,0,0,331,0,0,18,0,0,1,10,0,1
"STREAX INSTA NATURAL HAIR COLOR",494,9,11.6093117408907,68.5768825910931,0.340726248117409,4,156,338,219,275,223,234,37,288,110,96,52,442,6,46,0,45,0,0,0,52,164,233,0,0,0,0,0,0,5,0,0,5,0,37,1,46,0,0,3,0,6,0,0,99,0,7,6,0,0,1,0,0,0
"SUNNY ARNICA RANGE OF PRODUCT",155,2,10,26.782064516129,0.581817635264516,3,33,122,59,96,155,0,0,32,66,57,43,112,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUNNY HERBAL BALANCE SHAMPOO",183,1,10,58.4225136612022,0.455967704551913,5,60,123,50,133,183,0,0,79,60,44,5,178,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,33,0,0,16,0,0,0
"SUNNY HERBALS HAIR COLOUR",202,1,10.5940594059406,62.2998514851485,0.385472425475248,10,71,131,68,134,190,12,0,102,66,34,3,199,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4,34,0,0,28,0,0,0
"SUNSILK",5002,23,12.1321471411435,187.21393842463,0.534936369316074,18,1675,3327,1249,3753,2869,2133,0,1694,1357,1951,500,4502,1023,779,511,1726,0,0,0,1309,92,0,0,0,0,0,11,2,66,0,0,1180,55,567,0,101,6,5,0,24,4,17,0,0,19,0,0,0,5,0,10,0,2
"SUNSILK BLACK SHINE",7929,25,19.6834405347459,167.737229158784,0.547866666673603,27,2605,5324,2132,5797,1434,5312,1183,2479,2250,3200,794,7135,1915,935,841,2405,0,0,0,2206,102,61,0,0,0,0,30,2,142,0,0,1752,56,993,1,138,0,9,0,3,20,38,0,29,58,0,1,0,30,3,11,0,3
"SUNSILK CONDITIONER",4771,24,20,159.771089918256,0.551052442957661,27,1344,3427,1387,3384,0,4771,0,1396,1456,1919,690,4081,1146,569,375,1256,0,0,0,1608,23,67,0,0,0,0,44,2,20,0,0,900,21,775,0,49,0,0,0,10,0,11,0,34,9,0,2,0,16,1,9,0,0
"SUNSILK LONG AND HEALTHY GROWTH",20472,33,20.3433958577569,100.721417545916,0.547509419477384,29,5932,14540,5516,14956,2760,14249,3463,6012,6322,8138,5193,15279,4455,1725,1696,1941,0,0,0,9712,1523,458,426,0,0,0,91,0,153,0,0,1898,92,3534,7,693,185,0,0,23,2,71,0,153,0,7,18,0,0,8,28,0,5
"SUNSILK PERFECT STRAIGHT",1,1,15,0,0.25,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SUNSILK SHAMPOO/CONDITIONER",4901,25,20,108.266982248521,0.547162053526627,24,1568,3333,1437,3464,0,4901,0,1439,1529,1933,1148,3753,1353,383,510,656,0,0,0,2253,0,113,287,0,0,0,9,0,33,0,0,504,16,766,2,6,0,0,0,14,0,21,0,58,0,1,0,0,0,1,26,0,0
"SUNSILK THICK AND LONG",10,1,25,16.114,0.5195238096,3,0,10,0,10,0,0,10,3,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SUPER VASMOL 33",3992,14,19.2885771543086,179.346973947896,0.564382783809118,23,946,3046,892,3100,0,3992,0,932,1494,1566,171,3821,272,965,613,540,0,824,0,627,0,1273,0,0,0,0,320,5,79,0,3,494,21,106,0,0,0,0,3,2,1,0,0,565,0,0,88,0,0,4,0,0,0
"TRESEMME IONIC STRENGTH",7789,24,20.4185389652073,167.495991783284,0.544417614563872,17,2359,5430,2191,5598,0,7463,326,2400,2289,3100,1286,6503,1442,1134,570,2141,85,0,0,2832,0,0,0,0,0,0,26,3,120,0,0,1375,43,1436,0,22,0,3,0,3,10,42,10,0,13,0,7,2,37,1,29,0,4
